Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,553571,2310537,3322213,1077884,1877811,891901,2169265,2589731,1344198,1410530
BLACKMen,14608,168487,235951,148030,292554,234875,260164,676987,498703,653196
WHITEWomen,214164,1335571,3690642,982756,2112008,3438589,185076,769918,635108,2294520
BLACKWomen,15019,157951,475422,242320,481216,882467,47916,285053,263117,1043982
