Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,511837,2182208,3246172,987142,1766808,952408,1892605,2297554,1136343,1420042
BLACKMen,12599,153609,225534,133588,273650,243014,216714,577389,412296,646315
WHITEWomen,191583,1296938,3716547,934884,1935891,3206183,143597,654089,497131,2248193
BLACKWomen,11784,148827,464999,228745,435942,798679,33566,239093,206405,1023305
