Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,530156,2259852,3560669,995576,1792355,1014550,1922689,2416056,1171488,1453325
BLACKMen,12582,162552,257758,139577,301469,263791,225378,655533,468361,714454
WHITEWomen,210001,1377863,4016889,937776,1877940,3141698,126715,641281,483629,2317287
BLACKWomen,11803,161956,517644,241880,478033,821657,31532,252811,234256,1145918
