Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,532695,2362585,3790847,992114,1842646,1064399,1872348,2420672,1221390,1469949
BLACKMen,14353,182490,299265,150721,323499,307593,238271,757792,575851,795081
WHITEWomen,217215,1494963,4315273,950528,1838454,3090526,122916,633256,503236,2381042
BLACKWomen,13811,186756,593681,266932,530983,932816,34437,280360,294328,1323635
