Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,533547,2403851,3949602,976496,1762571,1054845,1862987,2454587,1241983,1435129
BLACKMen,14795,196793,337601,159931,307421,307057,249510,834109,627198,810183
WHITEWomen,230074,1555364,4508046,940993,1757117,2975935,117129,637358,535450,2350178
BLACKWomen,15439,204062,666530,271502,511314,948010,35010,314160,360619,1372370
