Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,521941,2288444,3602095,991015,1803575,1016171,1927554,2452173,1171588,1437814
BLACKMen,13647,168887,268874,144801,316464,273686,230575,695584,499966,735305
WHITEWomen,202815,1406699,4076736,936897,1872827,3092195,126149,640805,479628,2301240
BLACKWomen,12442,170431,535716,250906,511943,846371,32718,261653,249930,1189030
