Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,529971,2220998,3388390,987744,1806091,975763,1917708,2359676,1141499,1455502
BLACKMen,12572,155149,236413,135451,285053,248111,220472,596669,417336,673216
WHITEWomen,205559,1336854,3839360,943662,1939494,3190258,140553,648483,489618,2291523
BLACKWomen,11627,152672,482094,235279,452808,803807,33902,238529,205698,1056661
