Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,516169,2193795,3203352,1004233,1760399,936109,1916926,2298045,1122638,1395273
BLACKMen,12727,155767,224863,138689,267057,246284,225081,583271,406131,632646
WHITEWomen,14933904,195335,1293741,3676875,948105,1973895,3281533,152268,667399,511147,2233606
BLACKWomen,11720,151438,468304,232683,430354,833414,37164,249718,211500,1014523
