Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,521929,2246568,3491921,991297,1798808,1004534,1923394,2404977,1154164,1439803
BLACKMen,12443,157941,247327,136536,294577,256355,224623,629528,441973,686920
WHITEWomen,205692,1362134,3942188,951185,1919582,3183012,132311,659620,476230,2293450
BLACKWomen,11696,156107,501043,242308,478105,810166,33018,246254,219458,1102866
