Racial/Ethnic Group and Sex,Executive/Senior Level Officials & Managers,First/Mid Level Officials & Managers,Professionals,Technicians,Sales Workers,Office & Clerical Workers,Craft Workers,Operatives,Laborers,Service Workers
WHITEMen,520552,2321176,3683037,975779,1811249,1027527,1906433,2433127,1197408,1434132
BLACKMen,13743,174460,281178,144451,320274,288480,237203,726731,539358,759951
WHITEWomen,209942,1443807,4171198,937442,1835825,3063818,124627,626060,492425,2302516
BLACKWomen,13235,177295,562686,256250,525241,887379,33381,264205,271570,1250560
